Andalucía,1762402,1515270,667303,27036
Aragón,416692,37392,2527,56799
Asturias,79208,2098,11884,263692
Baleares,474344,22560,93091,11551
Canarias,524070,393984,307617,57426
Cantabria,227363,32681,589,4859
Castilla y León,588174,134406,201811,41456
Castilla-La Mancha,373356,264700,229874,125102
Cataluña,4120994,439877,13311,8145
Ceuta,567,17900,17820,48
Comunidad de Madrid,1813965,457762,631859,640731
Comunidad Valenciana,981501,1149405,60817,75111
Extremadura,301848,192352,21955,2419
Galicia,821919,82663,127071,51852
La Rioja,99826,40334,1130,21367
Melilla,34747,5908,69,6446
Murcia,88735,768005,191871,5207
Navarra,244392,59377,16706,17041
País Vasco,907453,1862,54314,9815
